"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\controllers\controller_nav.php", "PHP", 48, 0, 6, 54
"c:\xampp\htdocs\commerce-app\views\about.php", "PHP", -43, 0, -6, -49
"c:\xampp\htdocs\commerce-app\views\account.php", "PHP", -43, 0, -7, -50
"c:\xampp\htdocs\commerce-app\views\developer_tasks.php", "PHP", -71, -2, -14, -87
"c:\xampp\htdocs\commerce-app\views\development_tasks.php", "PHP", -46, -1, -9, -56
"c:\xampp\htdocs\commerce-app\views\payments.php", "PHP", -43, 0, -6, -49
"c:\xampp\htdocs\commerce-app\views\products.php", "PHP", -43, 0, -6, -49
"c:\xampp\htdocs\commerce-app\views\purchases.php", "PHP", -43, 0, -6, -49
"c:\xampp\htdocs\commerce-app\views\purchases_client.php", "PHP", -43, 0, -6, -49
"Total", "-", -327, -3, -54, -384
