"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\controllers\controller_login.php", "PHP", 0, 0, 0, -3, -3
"c:\xampp\htdocs\commerce-app\views\css\styles.css", "CSS", 0, -66, -1, -29, -96
"c:\xampp\htdocs\commerce-app\views\developer_tasks.php", "PHP", -13, 0, -2, -7, -22
"c:\xampp\htdocs\commerce-app\views\users.php", "PHP", -3, 0, 0, -1, -4
"Total", "-", -16, -66, -3, -40, -125
