"filename", "language", "PHP", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\views\css\styles.css", "CSS", 0, -132, 0, -22, -154
"c:\xampp\htdocs\commerce-app\views\payments.php", "PHP", -22, 0, 0, 0, -22
"c:\xampp\htdocs\commerce-app\views\products.php", "PHP", -10, 0, 0, 0, -10
"c:\xampp\htdocs\commerce-app\views\purchases.php", "PHP", -10, 0, 0, -1, -11
"c:\xampp\htdocs\commerce-app\views\users.php", "PHP", -42, 0, -3, -23, -68
"Total", "-", -84, -132, -3, -46, -265
