"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\commerce-app\controllers\controller_login.php", "PHP", 1, 0, 1, 2
"c:\xampp\htdocs\commerce-app\views\account.php", "PHP", 67, 0, 17, 84
"Total", "-", 68, 0, 18, 86
